Source,SGOUS,GOUS,MOUS_TM1,MOUS_TM2,MOUS_7M
543150,uid___A001_X146c_X95,uid___A001_X146c_X96,uid___A001_X146c_X97,uid___A001_X146c_X99,uid___A001_X146c_X9b
543161,uid___A001_X146c_X95,uid___A001_X146c_X96,uid___A001_X146c_X97,uid___A001_X146c_X99,uid___A001_X146c_X9b
543232,uid___A001_X146c_X95,uid___A001_X146c_X96,uid___A001_X146c_X97,uid___A001_X146c_X99,uid___A001_X146c_X9b
545262,uid___A001_X146c_X95,uid___A001_X146c_X96,uid___A001_X146c_X97,uid___A001_X146c_X99,uid___A001_X146c_X9b
545392,uid___A001_X146c_X95,uid___A001_X146c_X96,uid___A001_X146c_X97,uid___A001_X146c_X99,uid___A001_X146c_X9b
G231.7986-01.9682,uid___A001_X146c_X95,uid___A001_X146c_X96,uid___A001_X146c_X97,uid___A001_X146c_X99,uid___A001_X146c_X9b
G232.0766-02.2767,uid___A001_X146c_X95,uid___A001_X146c_X96,uid___A001_X146c_X97,uid___A001_X146c_X99,uid___A001_X146c_X9b
G233.8306-00.1803,uid___A001_X146c_X95,uid___A001_X146c_X96,uid___A001_X146c_X97,uid___A001_X146c_X99,uid___A001_X146c_X9b
520412,uid___A001_X146c_X95,uid___A001_X146c_X9d,uid___A001_X146c_X9e,uid___A001_X146c_Xa0,uid___A001_X146c_Xa2
G221.9605-01.9926,uid___A001_X146c_X95,uid___A001_X146c_X9d,uid___A001_X146c_X9e,uid___A001_X146c_Xa0,uid___A001_X146c_Xa2
631754,uid___A001_X146c_X95,uid___A001_X146c_Xa4,uid___A001_X146c_Xa5,uid___A001_X146c_Xa7,uid___A001_X146c_Xa9
637550,uid___A001_X146c_X95,uid___A001_X146c_Xa4,uid___A001_X146c_Xa5,uid___A001_X146c_Xa7,uid___A001_X146c_Xa9
G282.2988-00.7769,uid___A001_X146c_X95,uid___A001_X146c_Xa4,uid___A001_X146c_Xa5,uid___A001_X146c_Xa7,uid___A001_X146c_Xa9
646022,uid___A001_X146c_X95,uid___A001_X146c_Xab,uid___A001_X146c_Xac,uid___A001_X146c_Xae,uid___A001_X146c_Xb0
647452,uid___A001_X146c_X95,uid___A001_X146c_Xab,uid___A001_X146c_Xac,uid___A001_X146c_Xae,uid___A001_X146c_Xb0
651544,uid___A001_X146c_X95,uid___A001_X146c_Xab,uid___A001_X146c_Xac,uid___A001_X146c_Xae,uid___A001_X146c_Xb0
653755,uid___A001_X146c_X95,uid___A001_X146c_Xab,uid___A001_X146c_Xac,uid___A001_X146c_Xae,uid___A001_X146c_Xb0
654025,uid___A001_X146c_X95,uid___A001_X146c_Xab,uid___A001_X146c_Xac,uid___A001_X146c_Xae,uid___A001_X146c_Xb0
659209,uid___A001_X146c_X95,uid___A001_X146c_Xab,uid___A001_X146c_Xac,uid___A001_X146c_Xae,uid___A001_X146c_Xb0
666100,uid___A001_X146c_X95,uid___A001_X146c_Xab,uid___A001_X146c_Xac,uid___A001_X146c_Xae,uid___A001_X146c_Xb0
666101,uid___A001_X146c_X95,uid___A001_X146c_Xab,uid___A001_X146c_Xac,uid___A001_X146c_Xae,uid___A001_X146c_Xb0
666114,uid___A001_X146c_X95,uid___A001_X146c_Xab,uid___A001_X146c_Xac,uid___A001_X146c_Xae,uid___A001_X146c_Xb0
666242,uid___A001_X146c_X95,uid___A001_X146c_Xab,uid___A001_X146c_Xac,uid___A001_X146c_Xae,uid___A001_X146c_Xb0
672346,uid___A001_X146c_X95,uid___A001_X146c_Xab,uid___A001_X146c_Xac,uid___A001_X146c_Xae,uid___A001_X146c_Xb0
G286.2086+00.1694,uid___A001_X146c_X95,uid___A001_X146c_Xab,uid___A001_X146c_Xac,uid___A001_X146c_Xae,uid___A001_X146c_Xb0
G287.4929-00.5691,uid___A001_X146c_X95,uid___A001_X146c_Xab,uid___A001_X146c_Xac,uid___A001_X146c_Xae,uid___A001_X146c_Xb0
G293.5607-00.6703,uid___A001_X146c_X95,uid___A001_X146c_Xab,uid___A001_X146c_Xac,uid___A001_X146c_Xae,uid___A001_X146c_Xb0
G294.5117-01.6205,uid___A001_X146c_X95,uid___A001_X146c_Xab,uid___A001_X146c_Xac,uid___A001_X146c_Xae,uid___A001_X146c_Xb0
569314,uid___A001_X146c_X95,uid___A001_X146c_Xb2,uid___A001_X146c_Xb3,uid___A001_X146c_Xb5,uid___A001_X146c_Xb7
569408,uid___A001_X146c_X95,uid___A001_X146c_Xb2,uid___A001_X146c_Xb3,uid___A001_X146c_Xb5,uid___A001_X146c_Xb7
586092,uid___A001_X146c_X95,uid___A001_X146c_Xb9,uid___A001_X146c_Xba,uid___A001_X146c_Xbc,uid___A001_X146c_Xbe
605160,uid___A001_X146c_X95,uid___A001_X146c_Xb9,uid___A001_X146c_Xba,uid___A001_X146c_Xbc,uid___A001_X146c_Xbe
605300,uid___A001_X146c_X95,uid___A001_X146c_Xb9,uid___A001_X146c_Xba,uid___A001_X146c_Xbc,uid___A001_X146c_Xbe
606650,uid___A001_X146c_X95,uid___A001_X146c_Xb9,uid___A001_X146c_Xba,uid___A001_X146c_Xbc,uid___A001_X146c_Xbe
G268.3957-00.4842,uid___A001_X146c_X95,uid___A001_X146c_Xb9,uid___A001_X146c_Xba,uid___A001_X146c_Xbc,uid___A001_X146c_Xbe
108933,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
109432,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
111983,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
112582,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
112942,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
113869,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
120828,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
120995,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
124229,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
124839,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
125906,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
126120,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
126162,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
126186,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
126223,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
126348,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
130319,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
131178,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
131513,uid___A001_X146c_X95,uid___A001_X146c_Xc0,uid___A001_X146c_Xc1,uid___A001_X146c_Xc3,uid___A001_X146c_Xc5
