,Source,OBSRA,OBSDEC,7MTM2TM1_contNAXIS,7MTM2TM1_contCDELT,7MTM2TM1_contPEAK,7MTM2TM1_contAGMADRES,7MTM2TM1_contAGSTDRES,7MTM2TM1_contAGMADREM,7MTM2TM1_contAGSTDREM,7MTM2TM1_contAGMADIMM,7MTM2TM1_contAGSTDIMM,7MTM2TM1_contBMAJ,7MTM2TM1_contBMIN,7MTM2TM1_contBPA,7MTM2TM1_spw0PEAK,7MTM2TM1_spw0AGMADRESch0200,7MTM2TM1_spw0AGSTDRESch0200,7MTM2TM1_spw0AGMADRESch1000,7MTM2TM1_spw0AGSTDRESch1000,7MTM2TM1_spw0AGMADRESch2000,7MTM2TM1_spw0AGSTDRESch2000,7MTM2TM1_spw0AGMADRESch2800,7MTM2TM1_spw0AGSTDRESch2800,7MTM2TM1_spw0BMAJ,7MTM2TM1_spw0BMIN,7MTM2TM1_spw0BPA,7MTM2TM1_spw1PEAK,7MTM2TM1_spw1AGMADRESch0200,7MTM2TM1_spw1AGSTDRESch0200,7MTM2TM1_spw1AGMADRESch1000,7MTM2TM1_spw1AGSTDRESch1000,7MTM2TM1_spw1AGMADRESch2000,7MTM2TM1_spw1AGSTDRESch2000,7MTM2TM1_spw1AGMADRESch2800,7MTM2TM1_spw1AGSTDRESch2800,7MTM2TM1_spw1BMAJ,7MTM2TM1_spw1BMIN,7MTM2TM1_spw1BPA,7MTM2TM1_spw2PEAK,7MTM2TM1_spw2AGMADRESch0200,7MTM2TM1_spw2AGSTDRESch0200,7MTM2TM1_spw2AGMADRESch1000,7MTM2TM1_spw2AGSTDRESch1000,7MTM2TM1_spw2AGMADRESch2000,7MTM2TM1_spw2AGSTDRESch2000,7MTM2TM1_spw2AGMADRESch2800,7MTM2TM1_spw2AGSTDRESch2800,7MTM2TM1_spw2BMAJ,7MTM2TM1_spw2BMIN,7MTM2TM1_spw2BPA,7MTM2TM1_spw3PEAK,7MTM2TM1_spw3AGMADRESch0200,7MTM2TM1_spw3AGSTDRESch0200,7MTM2TM1_spw3AGMADRESch1000,7MTM2TM1_spw3AGSTDRESch1000,7MTM2TM1_spw3AGMADRESch2000,7MTM2TM1_spw3AGSTDRESch2000,7MTM2TM1_spw3AGMADRESch2800,7MTM2TM1_spw3AGSTDRESch2800,7MTM2TM1_spw3BMAJ,7MTM2TM1_spw3BMIN,7MTM2TM1_spw3BPA
0,543150,112.50125,-18.52005555556,629,0.057999999999996,0.0003454617,5.17501757713e-05,7.622089469805e-05,5.154017708264e-05,7.569191802759e-05,5.212050746195e-05,7.749919313937e-05,0.34353837370872,0.318113923072824,-82.07327270508,0.020908637,0.002019322,0.002956856,0.0020189027,0.0029298554,0.0021755805,0.0032112836,0.0019652208,0.00286287,0.39071199297888,0.355230569839464,-86.8610458374,0.10625171,0.0023690783,0.0034314087,0.002145252,0.0031674842,0.0019266894,0.002845711,0.0018759692,0.002775538,0.38756129145624,0.35482427477838,-86.98126983643,0.042697627,0.003963937,0.0058787228,0.004145522,0.006188255,0.0040977173,0.006068504,0.003873933,0.005625139,0.39092156291016,0.356983751058588,-89.10482788086,0.18661015,0.0044684764,0.006507636,0.004120651,0.0060363486,0.0039241714,0.0056972997,0.004032333,0.00589993,0.38519075512872,0.353796124458312,-86.63512420654
1,543161,112.51975,-18.51440833334,627,0.057999999999996,0.0003235645,4.497412373894e-05,6.53550887364e-05,4.473371518543e-05,6.480205775006e-05,4.535542757367e-05,6.627946277149e-05,0.329688698053356,0.305990725755708,-81.69825744629,0.022394113,0.0018151964,0.0026221427,0.0021477847,0.003190329,0.002233116,0.0032969096,0.0021250537,0.0031350176,0.39152356982244,0.358309596776976,-87.17667388916,0.08799797,0.0023339067,0.0034165406,0.00191243,0.0027685296,0.0019086637,0.0028005887,0.0018969441,0.0027948734,0.38859838247304,0.357156038284308,-89.75289154053,0.042757094,0.0040263375,0.0059092385,0.0038313884,0.005580039,0.004081818,0.0060159047,0.0035557095,0.0051271203,0.39083358645432,0.358227014541624,88.43697357178,0.14920309,0.0046410304,0.0068143117,0.0043625114,0.0064465185,0.004195026,0.0061742095,0.0041882377,0.0061527817,0.38596993684776,0.354663610458372,-87.32872772217
2,543232,112.5552083334,-18.535425,627,0.057999999999996,0.0003324019,4.526892007561e-05,6.629269046243e-05,4.509313657763e-05,6.585891242139e-05,4.578084190143e-05,6.756470975233e-05,0.3298107087612,0.3064019382,-82.20866394043,0.02066245,0.0019747352,0.002932097,0.0021278046,0.003158442,0.0019782947,0.002878785,0.0020904476,0.0031046062,0.39055362343776,0.357872903347032,89.52354431152,0.1217614,0.0023078064,0.0033471782,0.0021587128,0.0032014223,0.0017248936,0.0025106657,0.0017119392,0.0024719955,0.38763141632064,0.356554776430116,-89.83216094971,0.040770784,0.0040868702,0.005957721,0.003819764,0.0055360184,0.004013064,0.0059304433,0.00392237,0.0057740817,0.39067396521552,0.359239161014568,-89.22374725342,0.16356264,0.00457646,0.006771605,0.004531881,0.0066926423,0.004177848,0.006078804,0.0038241784,0.005557503,0.38483911752696,0.3525804579258,-86.29968261719
3,545262,112.953125,-19.30349166667,629,0.057999999999996,0.0004086136,4.433794310899e-05,6.479705189122e-05,4.407315645949e-05,6.413947266992e-05,4.487584010349e-05,6.592713179998e-05,0.333532482385644,0.310176223516476,-81.94152069092,0.021760954,0.0019190822,0.0028340025,0.0019561995,0.002859396,0.0021714098,0.003206455,0.0020139727,0.002926784,0.38969561457648,0.356602370738976,-89.49156188965,0.02805103,0.0022704438,0.003288092,0.0020815486,0.0030989074,0.0018930446,0.0027655556,0.0018564545,0.0027202056,0.38891887664796,0.354005455970772,-87.39169311523,0.041844882,0.0038899854,0.0057471376,0.003926314,0.005813356,0.0039777867,0.0058764447,0.004055689,0.006006601,0.3905324041842,0.3584058880806,-89.05854034424,0.059641212,0.004477476,0.006436189,0.0040735635,0.0059000165,0.0040012994,0.005856803,0.003752657,0.005469718,0.38424989581092,0.353421658277496,89.81262969971
4,545392,112.9787083334,-19.33843611111,639,0.056999999999988,0.0003649296,4.433950743987e-05,6.45901018288e-05,4.417783929966e-05,6.421277066693e-05,4.450053529581e-05,6.551469414262e-05,0.326182365417492,0.303365230560288,-83.30113983154,0.022258386,0.0019297356,0.0028491917,0.00214344,0.003168751,0.002159,0.0032020453,0.0020203425,0.0029322316,0.38046503067012,0.350027084350584,-84.26740264893,0.06421939,0.0023909474,0.0034856691,0.0020829744,0.0030777988,0.0018511009,0.002716909,0.0017426877,0.0025511873,0.38059818744672,0.349925100803388,88.80448150635,0.04035062,0.003769508,0.0055022957,0.0041712285,0.0061653466,0.003978904,0.0058387965,0.0038674667,0.0056237946,0.3810822963714,0.35080030560492,86.27586364746,0.109466106,0.0046738773,0.006908371,0.0044725984,0.00665306,0.0041956375,0.0062130117,0.0038141764,0.00559283,0.37933841347704,0.348359763622284,88.82569122314
5,G231.7986-01.9682,109.8997083334,-17.655,629,0.057999999999996,0.03553939,5.052276173956e-05,7.261869905051e-05,5.008976586396e-05,7.195505895652e-05,5.183757457417e-05,7.61062692618e-05,0.336384564638148,0.312686681747436,-82.07745361328,0.048425935,0.0018043903,0.002618333,0.0019838542,0.0029148043,0.0020655189,0.0030576289,0.001993624,0.0028990693,0.3902551233768,0.356678962707528,-86.07769775391,0.15809423,0.0023328648,0.0034238219,0.0019954809,0.0029638878,0.0017273445,0.0024968793,0.0018743753,0.0027454363,0.38823068141928,0.353840410709388,-88.26564025879,0.072596714,0.003691555,0.0054420996,0.003957632,0.0058742906,0.0039726584,0.0058324193,0.004088307,0.0060132924,0.3909623622894,0.357175886631012,-89.46050262451,0.17508397,0.0047549205,0.0069865854,0.0044235173,0.0064544226,0.0040812967,0.006035345,0.003948927,0.0058370056,0.38507342338548,0.35246658325194,-85.67153167725
6,G232.0766-02.2767,109.749625,-18.04488888889,627,0.057999999999996,0.014514293,5.518421676243e-05,7.932448352221e-05,5.40402943443e-05,7.766830094624e-05,5.680705362465e-05,8.29751661513e-05,0.338169842958456,0.312508761882768,-80.6328125,0.115016036,0.0020558706,0.0030109156,0.0020118435,0.002930441,0.0020140111,0.002925426,0.0021103153,0.0031252978,0.39349031448348,0.354074031114588,-84.76028442383,0.184131,0.0026109652,0.0038593796,0.00197136,0.0028734226,0.0017919184,0.002629348,0.0018907529,0.0027457837,0.38897478580464,0.354703843593612,-86.78385925293,0.1313355,0.0036549151,0.005323774,0.0039861263,0.005839888,0.0038998378,0.00579455,0.0036981595,0.0053977105,0.39300268888476,0.356801897287368,-88.24095153809,0.22702172,0.00480166,0.007029856,0.004348551,0.0063561806,0.0044209654,0.0064958427,0.004240934,0.006262375,0.38610410690304,0.352090805768964,-85.76304626465
7,G233.8306-00.1803,112.5696666667,-18.59697222223,629,0.057999999999996,0.031571,5.31136392965e-05,7.634350913577e-05,5.167848576093e-05,7.430990081048e-05,5.546669126488e-05,8.061282278504e-05,0.344892561435684,0.317900031805044,-83.57364654541,0.050243042,0.0019152558,0.0027580468,0.0021568974,0.003151548,0.0020236406,0.0029619709,0.0020353107,0.002990605,0.38920009136184,0.355822503566724,89.77910614014,0.19640997,0.002566819,0.003790865,0.0021178848,0.0031272909,0.0018946199,0.0028091334,0.0017342574,0.0025156352,0.38600710034364,0.352078884840024,89.50391387939,0.07069808,0.0039221505,0.0057990146,0.0040103453,0.0059369556,0.0037963928,0.0055455123,0.003964032,0.0058371676,0.38976997137084,0.35631990432738,87.61053466797,0.2502079,0.0046573346,0.0068140444,0.004410526,0.006387535,0.0043795924,0.0064551462,0.0038442262,0.0055957166,0.38475969433776,0.351802915334712,-89.74439239502
8,520412,104.937125,-4.814794444444,561,0.065000000000016,0.0014616114,3.521075996105e-05,5.12304577569e-05,3.511104296194e-05,5.097711982671e-05,3.552439011401e-05,5.241166581982e-05,0.36088937520984,0.343340098857864,63.92037582397,0.017414363,0.0015942419,0.002322246,0.001640912,0.0023878836,0.0017255245,0.0024998242,0.0017983443,0.0026612408,0.40490403771384,0.38222047686564,81.47882843018,0.047042795,0.001912214,0.0027882964,0.0016235026,0.0023935698,0.0016787472,0.002481418,0.0015580051,0.002287322,0.41022011637684,0.38255402445804,87.48043823242,0.03470076,0.0033357653,0.004853581,0.003654984,0.005366359,0.003525765,0.005217206,0.0033178343,0.00486459,0.41562953591364,0.37390297651308,71.04392242432,0.064403705,0.0038226587,0.0056267716,0.003767637,0.005556927,0.003381238,0.00490604,0.0033581266,0.0048402203,0.41207471489916,0.37196052074424,69.34568786621
9,G221.9605-01.9926,105.21225,-8.941694444445,553,0.065999999999988,0.0006510522,4.009373151348e-05,5.749647243647e-05,3.964642746723e-05,5.677553053829e-05,4.146712672082e-05,6.103866326157e-05,0.37415438890452,0.35476085543634,49.03879165649,0.032465182,0.0016568166,0.0023826337,0.0019792481,0.0029240856,0.0018622136,0.0027449662,0.0017243947,0.0025237333,0.43548315763464,0.40521025657656,73.88388061523,0.19844681,0.0021165702,0.0031245938,0.0018444499,0.002719498,0.0017712312,0.0026111652,0.001772785,0.0026066417,0.4384770989418,0.41010785102844,77.07486724854,0.057850353,0.0035455008,0.0052042296,0.003577272,0.0053374595,0.0035771264,0.0052927183,0.0034135063,0.0049880333,0.44541364908204,0.39730247855172,66.71001434326,0.22847232,0.0039092554,0.005728665,0.0038607088,0.005650547,0.0038207474,0.0056154253,0.0033436953,0.004884229,0.44193613529196,0.39698195457456,67.13160705566
