,Source,OBSRA,OBSDEC,7MTM2_contNAXIS,7MTM2_contCDELT,7MTM2_contPEAK,7MTM2_contAGMADRES,7MTM2_contAGSTDRES,7MTM2_contAGMADREM,7MTM2_contAGSTDREM,7MTM2_contAGMADIMM,7MTM2_contAGSTDIMM,7MTM2_contBMAJ,7MTM2_contBMIN,7MTM2_contBPA,7MTM2_spw0PEAK,7MTM2_spw0AGMADRESch0200,7MTM2_spw0AGSTDRESch0200,7MTM2_spw0AGMADRESch1000,7MTM2_spw0AGSTDRESch1000,7MTM2_spw0AGMADRESch2000,7MTM2_spw0AGSTDRESch2000,7MTM2_spw0AGMADRESch2800,7MTM2_spw0AGSTDRESch2800,7MTM2_spw0BMAJ,7MTM2_spw0BMIN,7MTM2_spw0BPA,7MTM2_spw1PEAK,7MTM2_spw1AGMADRESch0200,7MTM2_spw1AGSTDRESch0200,7MTM2_spw1AGMADRESch1000,7MTM2_spw1AGSTDRESch1000,7MTM2_spw1AGMADRESch2000,7MTM2_spw1AGSTDRESch2000,7MTM2_spw1AGMADRESch2800,7MTM2_spw1AGSTDRESch2800,7MTM2_spw1BMAJ,7MTM2_spw1BMIN,7MTM2_spw1BPA,7MTM2_spw2PEAK,7MTM2_spw2AGMADRESch0200,7MTM2_spw2AGSTDRESch0200,7MTM2_spw2AGMADRESch1000,7MTM2_spw2AGSTDRESch1000,7MTM2_spw2AGMADRESch2000,7MTM2_spw2AGSTDRESch2000,7MTM2_spw2AGMADRESch2800,7MTM2_spw2AGSTDRESch2800,7MTM2_spw2BMAJ,7MTM2_spw2BMIN,7MTM2_spw2BPA,7MTM2_spw3PEAK,7MTM2_spw3AGMADRESch0200,7MTM2_spw3AGSTDRESch0200,7MTM2_spw3AGMADRESch1000,7MTM2_spw3AGSTDRESch1000,7MTM2_spw3AGMADRESch2000,7MTM2_spw3AGSTDRESch2000,7MTM2_spw3AGMADRESch2800,7MTM2_spw3AGSTDRESch2800,7MTM2_spw3BMAJ,7MTM2_spw3BMIN,7MTM2_spw3BPA
0,543150,112.50125,-18.52005555556,299,0.129999999999996,0.00059423666,7.001731137279e-05,9.452639642404e-05,6.791883060941e-05,9.262491221307e-05,7.939626812004e-05,0.0001205063890666,0.74047905206676,0.65215367078796,-76.01467132568,0.049608964,0.0045436695,0.0066894484,0.004487387,0.0066365576,0.0045129242,0.0066584097,0.0041817673,0.0060246754,0.82087969779972,0.71090763807312,-81.98321533203,1.3137766,0.005331565,0.007950362,0.0044771484,0.006493101,0.0039766324,0.0056893537,0.004335888,0.006376276,0.8220608234405999,0.7070943117142799,-83.5817489624,0.09584349,0.0084704785,0.012634994,0.008543097,0.012652416,0.008653638,0.0130926855,0.009008591,0.013276727,0.8125921487808,0.71244728565228,-84.57659912109,2.564205,0.009813765,0.014390162,0.009477553,0.013936939,0.008634712,0.012873545,0.007862119,0.011436571,0.8078413009644,0.70425146818152,-83.14067077637
1,543161,112.51975,-18.51440833334,297,0.129999999999996,0.00063392555,8.562827133574e-05,0.0001180023391498,8.358700142708e-05,0.0001157758451882,9.397564281244e-05,0.000136684946483,0.73896616697328,0.6469522118568,-76.65087890625,0.12733273,0.003972437,0.005702647,0.004562755,0.006841578,0.004541633,0.006681601,0.004425533,0.0064823306,0.8237205147744,0.7108078002930001,-82.19753265381,26.27137,0.0050398293,0.007509577,0.004034507,0.0058124955,0.0041385307,0.0062834676,0.0042078244,0.0061552324,0.8186587691306401,0.70528900623336,-83.65202331543,0.13269271,0.009072957,0.013449591,0.008848409,0.013039113,0.008655599,0.012705083,0.008193122,0.011879007,0.82193797826784,0.70844572782504,-82.88805389404,2.2166429,0.009899678,0.014886418,0.009478996,0.014040984,0.009135058,0.013614076,0.00906982,0.013270818,0.8086502552032799,0.69897401332848,-84.11393737793
2,543232,112.5552083334,-18.535425,299,0.129999999999996,0.00064202544,7.196739170467e-05,9.843851876212e-05,6.970523099881e-05,9.593708819011e-05,8.122283907142e-05,0.0001215044612763,0.7477421164513199,0.65108102560056,-77.74195861816,0.042859755,0.0043800715,0.0064772163,0.004574967,0.006735746,0.0045030927,0.006621522,0.0044841804,0.0066877073,0.82665693759924,0.71277379989624,-84.9592590332,0.62792444,0.005241081,0.007684424,0.0045074103,0.006586237,0.003888617,0.005649825,0.003979929,0.005928326,0.82433742284772,0.70303195714968,-84.28038787842,0.10379194,0.008288476,0.011944528,0.0089572705,0.012926407,0.008933955,0.013216294,0.008475795,0.012792803,0.82308936119076,0.7108846902846,-81.79368591309,1.5400398,0.009240908,0.013179308,0.008288569,0.012058117,0.008858529,0.013046526,0.008710031,0.012777898,0.81209975481036,0.70125746726988,-83.22621917725
3,545262,112.953125,-19.30349166667,299,0.129999999999996,0.00084186066,7.28326922399e-05,0.0001000663323794,7.110360456863e-05,9.800873522181e-05,8.018570224522e-05,0.000118277144793,0.74778866767872,0.6536895036696,-78.07596588135,0.040664107,0.004058568,0.0060239453,0.0042010243,0.0062895217,0.004298842,0.006439538,0.0039364644,0.005675817,0.8216660618780399,0.71512109041212,-84.86209106445,0.156854,0.0046181064,0.006668057,0.0041284985,0.0061835903,0.0037883366,0.0055870935,0.003818656,0.005467577,0.82236069440856,0.7045519351960801,-83.05619812012,0.07917169,0.008844185,0.013032316,0.00880887,0.012952272,0.008797652,0.012977826,0.008892412,0.013261305,0.82330846786512,0.71139651536952,-83.48160552979,0.6296232,0.009642934,0.014016036,0.008937927,0.012933124,0.008938949,0.0131945,0.0080496995,0.011869545,0.809838950634,0.69970279932036,-83.73577880859
4,545392,112.9787083334,-19.33843611111,299,0.129999999999996,0.00064962154,6.911335367477e-05,9.475933620706e-05,6.75754272379e-05,9.287274588132e-05,7.654516230104e-05,0.0001150414827862,0.75081241130832,0.65462112426744,-77.5432434082,0.039237253,0.003995875,0.0057937945,0.0043817926,0.006591204,0.0042658695,0.0063003073,0.0044668824,0.0066255885,0.82750374078768,0.71438318490996,-83.61502838135,0.3539987,0.004815138,0.006974461,0.004137508,0.0062415027,0.0037038734,0.0053962865,0.0035931724,0.0052035754,0.8225887417794,0.70460790395724,-83.01077270508,0.07764843,0.008833303,0.013064163,0.009358864,0.013749874,0.008872537,0.013310285,0.00895048,0.013400574,0.82129609584792,0.7140752077104,-84.32313537598,1.4378041,0.009695328,0.01453773,0.009450409,0.013805791,0.009039272,0.013441597,0.008880118,0.013154749,0.80683708190904,0.70107233524308,-82.35070800781
5,G231.7986-01.9682,109.8997083334,-17.655,297,0.129999999999996,0.035509694,8.783632802079e-05,0.0001207713285112,8.600474393461e-05,0.0001184597495012,9.540605242364e-05,0.0001414694852429,0.74693244695652,0.647650361061,-73.49285888672,0.08798338,0.004342857,0.006377889,0.0044786194,0.006656744,0.0042341193,0.00617633,0.004318595,0.006456545,0.83604645729072,0.7144865393637599,-82.62401580811,0.3718458,0.0050523127,0.0075186156,0.004413931,0.006538113,0.0037996564,0.00554788,0.0040745395,0.006015076,0.8311364650728,0.70540511608116,-82.02012634277,0.11734229,0.008612773,0.0127048595,0.008669771,0.012912004,0.00867987,0.012912733,0.008584746,0.012963362,0.83799231052392,0.71789902448652,-81.07749176025,0.46651036,0.009936407,0.0150683625,0.009850061,0.014777019,0.008260091,0.011871135,0.008725608,0.013095716,0.8225023746492001,0.70066517591484,-80.21607208252
6,G232.0766-02.2767,109.749625,-18.04488888889,297,0.129999999999996,0.02577737,9.483435860602e-05,0.0001292222295888,9.087950456887e-05,0.0001251585927093,0.0001048652848112,0.0001519403595012,0.79685777425752,0.6446206569672,-69.58154296875,0.3474293,0.004467443,0.0065763714,0.004585532,0.006724176,0.004157531,0.006056483,0.0046764743,0.0068726176,0.9088441133500801,0.72445422410964,-75.02689361572,0.69292754,0.005304352,0.00779143,0.0043940223,0.0064955354,0.0041620806,0.0059714755,0.0046744864,0.0068529663,0.8762091398240399,0.7129783034323199,-77.47919464111,0.37404937,0.008210111,0.012025699,0.008883071,0.013186411,0.008766398,0.013100182,0.009031743,0.013276669,0.8790314793588,0.7220744490625199,-78.03778076172,0.85215706,0.01046811,0.015074641,0.010442885,0.015441552,0.010010309,0.014767265,0.0094668325,0.013985935,0.88070672750472,0.70972579717632,-78.76832580566
7,G233.8306-00.1803,112.5696666667,-18.59697222223,297,0.129999999999996,0.035013285,9.363045683131e-05,0.0001285314501729,8.950261690188e-05,0.0001237841206603,0.0001048613121384,0.0001522905658931,0.7333852648734001,0.64588141441332,-75.64136505127,0.13644463,0.0044163913,0.0063952855,0.0045020906,0.0065982486,0.004409195,0.006581358,0.0045347973,0.006579024,0.82235217094416,0.71387273073204,-84.69330596924,0.75547963,0.005344043,0.007987506,0.004479628,0.006696677,0.0038580925,0.005646155,0.0043489877,0.006417459,0.815662264824,0.7047992348672399,-81.14861297607,0.19900611,0.008000216,0.011619275,0.0077698547,0.011279819,0.008296707,0.011960008,0.009144638,0.013407983,0.8227364420890799,0.71799409389492,-84.44731903076,0.95017755,0.0095724305,0.014349891,0.010090368,0.014773357,0.009442141,0.013839403,0.008752517,0.013181942,0.79822438955316,0.7008426785469599,-80.65007781982
8,520412,104.937125,-4.814794444444,275,0.140000000000004,0.0015256256,6.936507270439e-05,9.505172056379e-05,6.847280747024e-05,9.405146556674e-05,7.463774090866e-05,0.0001108635187848,0.73594552278528,0.66716331243516,-60.39378356934,0.041339938,0.004629297,0.00687996,0.0047209696,0.006901742,0.004848639,0.007154535,0.0048859143,0.0071491343,0.83022522926328,0.74699199199692,-66.25939941406,0.30728248,0.005007203,0.0071822056,0.0044430047,0.0066156383,0.0042261584,0.0063846516,0.0042285887,0.0061974893,0.826099216938,0.73847657442096,-74.1501159668,0.078456044,0.0074421815,0.01046873,0.009028589,0.01324776,0.009171335,0.0137581,0.0091192,0.013355415,0.83094829320924,0.7433435320855201,-70.50045776367,0.73467964,0.010226704,0.015095715,0.009651135,0.014189888,0.009475157,0.013882772,0.009120521,0.013272129,0.8220531940459199,0.7364427447319201,-74.05001831055
9,G221.9605-01.9926,105.21225,-8.941694444445,295,0.129999999999996,0.0011032462,7.096338231349e-05,9.408657933818e-05,6.833594670752e-05,9.155464067589e-05,8.199588046409e-05,0.0001229384652106,0.73625141382228,0.65980637073504,-66.14117431641,0.0754227,0.0044295425,0.0063953563,0.004472611,0.0067262645,0.004692279,0.0068524126,0.004128836,0.0059833312,0.8201144337652799,0.73297256231304,-76.58946990967,0.590499,0.00501217,0.0073971823,0.0040710266,0.0060071885,0.0040025664,0.0058671827,0.0039779157,0.0059192153,0.81138026714328,0.71989727020272,-79.03951263428,0.14585686,0.008737763,0.013092448,0.008612471,0.012870785,0.008906441,0.013391773,0.0080708545,0.011638941,0.8195479512213599,0.7298862338066401,-79.67713165283,0.6377821,0.009769885,0.014528861,0.008770642,0.012977754,0.008876502,0.013000747,0.008630208,0.012638039,0.80673527717604,0.7168786525728,-80.40882873535
