,Source,OBSRA,OBSDEC,7M_contNAXIS,7M_contCDELT,7M_contPEAK,7M_contAGMADRES,7M_contAGSTDRES,7M_contAGMADREM,7M_contAGSTDREM,7M_contAGMADIMM,7M_contAGSTDIMM,7M_contBMAJ,7M_contBMIN,7M_contBPA,7M_spw0PEAK,7M_spw0AGMADRESch0200,7M_spw0AGSTDRESch0200,7M_spw0AGMADRESch1000,7M_spw0AGSTDRESch1000,7M_spw0AGMADRESch2000,7M_spw0AGSTDRESch2000,7M_spw0AGMADRESch2800,7M_spw0AGSTDRESch2800,7M_spw0BMAJ,7M_spw0BMIN,7M_spw0BPA,7M_spw1PEAK,7M_spw1AGMADRESch0200,7M_spw1AGSTDRESch0200,7M_spw1AGMADRESch1000,7M_spw1AGSTDRESch1000,7M_spw1AGMADRESch2000,7M_spw1AGSTDRESch2000,7M_spw1AGMADRESch2800,7M_spw1AGSTDRESch2800,7M_spw1BMAJ,7M_spw1BMIN,7M_spw1BPA,7M_spw2PEAK,7M_spw2AGMADRESch0200,7M_spw2AGSTDRESch0200,7M_spw2AGMADRESch1000,7M_spw2AGSTDRESch1000,7M_spw2AGMADRESch2000,7M_spw2AGSTDRESch2000,7M_spw2AGMADRESch2800,7M_spw2AGSTDRESch2800,7M_spw2BMAJ,7M_spw2BMIN,7M_spw2BPA,7M_spw3PEAK,7M_spw3AGMADRESch0200,7M_spw3AGSTDRESch0200,7M_spw3AGMADRESch1000,7M_spw3AGSTDRESch1000,7M_spw3AGMADRESch2000,7M_spw3AGSTDRESch2000,7M_spw3AGMADRESch2800,7M_spw3AGSTDRESch2800,7M_spw3BMAJ,7M_spw3BMIN,7M_spw3BPA
0,543150,112.50125,-18.52005555556,89.0,0.87000000000012,0.0035783283,0.000848131836392,0.00127156637609,0.000848131836392,0.00127156637609,0.000848131836392,0.00127156637609,6.8676075935352,4.3499603271492,-81.01522064209,0.40337566,0.021596048,0.032504614,0.023489373,0.035561744,0.02159647,0.03161952,0.026329417,0.03815275,6.999876022338,4.207560062407199,-76.42578887939,11.062854,0.027810602,0.042109095,0.021465467,0.031992704,0.021165816,0.03091949,0.024218557,0.034345016,6.9444646835328,4.1551709175108,-78.02348327637,0.8497606,0.05314185,0.07845538,0.054093722,0.08309707,0.04674108,0.064642414,0.051077385,0.07729952,7.0150647163392,4.187600135802,-76.94990539551,17.97471,0.053191062,0.08159983,0.05554246,0.07799193,0.04462275,0.06808763,0.044960566,0.066833295,6.925021171570799,4.1283564567552,-77.43553161621
1,543161,112.51975,-18.51440833334,89.0,0.8799999999998399,0.0081259925,0.001146032009274,0.001960957655683,0.001114384969696,0.001781401108019,0.001114384969696,0.001781401108019,6.8626728057852,4.349841594696,-77.34889984131,1.0838776,0.026289321,0.03838886,0.02386428,0.034049198,0.02407477,0.03582837,0.022153262,0.03171656,6.9990596771256,4.1975140571604,-76.64929962158,12.556616,0.02520871,0.038702622,0.020060562,0.029557109,0.022093052,0.030776361,0.024460495,0.037735958,6.9484953880296,4.2357339858996,-79.21237945557,1.8725601,0.04834229,0.07449244,0.05092981,0.07696274,0.060974803,0.08468422,0.043336175,0.066693865,6.983050823211601,4.2092242240896,-77.42824554443,21.237904,0.05006177,0.070585,0.047280733,0.07320988,0.049718793,0.075894326,0.044184316,0.0658287,6.9495677948016,4.2788901329028,-79.38993835449
2,543232,112.5552083334,-18.535425,89.0,0.8799999999998399,0.006301711,0.001422131084837,0.002090184018016,0.001422131084837,0.002090184018016,0.001422131084837,0.002090184018016,6.8605227470412,4.35806941986,-77.9620513916,0.6986448,0.025116881,0.03665245,0.025334014,0.03758705,0.029483238,0.046736643,0.025254272,0.035358615,7.0067706108084,4.2006912231456,-77.07946014404,7.7365046,0.025222404,0.03833221,0.02487904,0.037025973,0.016976794,0.027203951,0.020533804,0.030519605,7.0715885162364,4.1998834609992,-77.31854248047,1.2661537,0.04852694,0.06942612,0.054568924,0.07894059,0.056454208,0.08176398,0.04837052,0.069923095,7.044424057007999,4.1624584197984,-77.46047210693,10.620766,0.058414888,0.08219391,0.054891795,0.0836869,0.03941601,0.0639121,0.040448233,0.058920354,7.0082025527952,4.24127292633,-78.68070983887
3,545262,112.953125,-19.30349166667,89.0,0.87000000000012,0.005804642,0.001391727128066,0.002048069844022,0.001391727128066,0.002048069844022,0.001391727128066,0.002048069844022,6.7888970375076,4.4101886749272,-80.2056350708,0.462386,0.024803972,0.036882203,0.020961644,0.032021597,0.021925084,0.030889781,0.023404913,0.034270503,6.9746351242068,4.193714618683201,-77.55202484131,1.796377,0.034208488,0.0483504,0.018813241,0.029245898,0.023279345,0.03377593,0.039363306,0.06430574,6.9640812873828,4.156375408171201,-78.53758239746,0.77872896,0.05464425,0.07725564,0.046046875,0.066716485,0.05418865,0.07490029,0.051798083,0.07406983,6.9797887802136,4.1988120079032,-77.74213409424,3.3327057,0.054799695,0.08028249,0.057452664,0.081383415,0.05114438,0.07850983,0.060111064,0.08298733,7.0124702453604,4.1165566444404,-77.49661254883
4,545392,112.9787083334,-19.33843611111,89.0,0.87000000000012,0.0037659195,0.0007637103553861,0.001114055630751,0.0007637103553861,0.001114055630751,0.0007637103553861,0.001114055630751,6.7920207977304,4.3999781608584,-80.22763061523,0.25180298,0.024852745,0.03652663,0.028224131,0.042009935,0.027287934,0.041978773,0.025981644,0.037518892,6.946667194366801,4.2086920738212,-77.20136260986,3.9810524,0.030534241,0.04375522,0.022537693,0.03407068,0.020656079,0.031832322,0.03137649,0.04533108,7.0096812248232,4.1189856529248,-77.31356811523,0.54569054,0.05111028,0.07703638,0.0524016,0.07437612,0.050401714,0.070484996,0.04501774,0.0628367,6.9756188392656,4.1749324798572,-78.08883666992,8.481255,0.050887905,0.08009219,0.05623056,0.08353286,0.03913119,0.06283964,0.051018964,0.07263491,7.01765871048,4.107334613799599,-76.97264099121
5,G231.7986-01.9682,109.8997083334,-17.655,89.0,0.87000000000012,0.054007705,0.002492684870958,0.007290165871382,0.002216677181423,0.00351452967152,0.002216677181423,0.00351452967152,7.1622209548944,4.3343052864084,-76.33163452148,0.9686893,0.023138655,0.038177546,0.023785284,0.036433678,0.026640406,0.03896633,0.024011755,0.0343795,7.0192303657524,4.331189632417201,-78.64572906494,4.768813,0.027591016,0.04001517,0.024462024,0.03442003,0.02630413,0.03864841,0.027833084,0.045872696,6.9749097824088,4.220962524413999,-78.09156799316,1.3119755,0.041559488,0.06346386,0.04732158,0.07181453,0.049945906,0.06843874,0.051889926,0.07441451,6.9998307228072,4.3192791938772,-79.42875671387,5.688496,0.054698825,0.082813,0.05062463,0.07669802,0.048971005,0.072753504,0.048525963,0.07034682,6.9610128402708,4.2258148193376,-77.66255187988
6,G232.0766-02.2767,109.749625,-18.04488888889,91.0,0.86000000000004,0.067691766,0.004146590363234,0.009949844330549,0.00371235050261,0.005383087787777,0.00371235050261,0.005383087787777,7.2268190383896,4.2319765090944,-76.037940979,3.1621876,0.033164807,0.05204702,0.030816045,0.044875994,0.026110128,0.03964126,0.029226359,0.04144592,7.31620168686,4.2455625534072,-78.08446502686,12.600111,0.035231907,0.050137423,0.024433728,0.038600877,0.02073192,0.029819641,0.16250578,0.3463193,7.1248774528512,4.2571539878832,-78.23195648193,3.8553267,0.065119356,0.0962323,0.052700788,0.079641655,0.058099363,0.086448684,0.052238174,0.07996337,7.2517266273492,4.2854919433596,-79.16412353516,14.92317,0.06504183,0.091341995,0.061486788,0.09222916,0.060092147,0.08560765,0.06416651,0.09287398,7.099678993226401,4.207948207855201,-78.14952850342
7,G233.8306-00.1803,112.5696666667,-18.59697222223,89.0,0.87000000000012,0.099406265,0.006643132306635,0.01511039119214,0.005885098129511,0.008844574913383,0.005885098129511,0.008844574913383,6.982341766358401,4.35356235504,-78.85675048828,2.120894,0.051237695,0.08356274,0.030706046,0.042187843,0.027089726,0.038137347,0.024976358,0.038008474,6.9774327278136,4.2238254547116,-76.32261657715,12.710896,0.031385276,0.04793141,0.02383372,0.03493146,0.028758503,0.042692184,0.026025932,0.042400833,6.9459323883048,4.1830410957336,-78.36862182617,2.9487715,0.03995165,0.061662026,0.050783787,0.073232695,0.053692732,0.08334297,0.05528144,0.086113036,6.9675216674796,4.20345544815,-77.95085906982,14.156317,0.051820662,0.075130545,0.055565055,0.08361062,0.05969399,0.08807069,0.060198307,0.08526984,6.9414272308332,4.148661136626,-76.67627716064
8,520412,104.937125,-4.814794444444,81.0,1.00000000000008,0.0026958222,0.0002941519196611,0.0003728447190952,0.0002727935498115,0.0003497403813526,0.0003328884777147,0.0005315400194377,7.397266387939201,4.637504100798,-72.29229736328,0.19408175,0.022315029,0.031505976,0.027804315,0.040922917,0.027198637,0.038728558,0.026744088,0.039763253,7.698864459992399,4.8174791336064,-77.07149505615,2.5728683,0.027205471,0.040039994,0.023764404,0.03775204,0.022919439,0.034025647,0.023824755,0.03471952,7.5029907226572,4.7890949249268,-76.15422058105,0.4029587,0.0483292,0.06894341,0.048278272,0.07512342,0.051030725,0.073791355,0.047484156,0.06675942,7.663865089417199,4.8062481880176,-76.56287384033,7.3371553,0.04799172,0.07600407,0.056559958,0.08704912,0.052657418,0.07826848,0.055131372,0.07838455,7.597771644592799,4.724345684052,-74.38244628906
9,G221.9605-01.9926,105.21225,-8.941694444445,81.0,0.9799999999999199,0.013061969,0.0003438470885158,0.0004254507657606,0.000302729109535,0.0003856004041154,0.0004377765289973,0.0006949725211598,7.6969890594468,4.4651665687572,-75.10500335693,0.94059694,0.028583791,0.039022636,0.028205698,0.04157972,0.029139455,0.044618674,0.023051452,0.03374764,7.6255292892456,4.746532917024,-73.90076446533,13.947744,0.032337382,0.041893024,0.021061314,0.03264563,0.022597196,0.034283698,0.027534505,0.041183945,7.587576866149201,4.735232830047599,-75.6375579834,1.5067434,0.05527424,0.07980942,0.045463804,0.071660824,0.05730171,0.08059411,0.059192482,0.08054597,7.63065958023,4.7813782691952,-75.90930938721,23.326015,0.06669818,0.08792104,0.05415923,0.07396468,0.04328379,0.06774749,0.05098705,0.07439311,7.648675918578,4.7270355224616,-77.32541656494
