,Source,OBSRA,OBSDEC,TM2_contNAXIS,TM2_contCDELT,TM2_contPEAK,TM2_contAGMADRES,TM2_contAGSTDRES,TM2_contAGMADREM,TM2_contAGSTDREM,TM2_contAGMADIMM,TM2_contAGSTDIMM,TM2_contBMAJ,TM2_contBMIN,TM2_contBPA,TM2_spw0PEAK,TM2_spw0AGMADRESch0200,TM2_spw0AGSTDRESch0200,TM2_spw0AGMADRESch1000,TM2_spw0AGSTDRESch1000,TM2_spw0AGMADRESch2000,TM2_spw0AGSTDRESch2000,TM2_spw0AGMADRESch2800,TM2_spw0AGSTDRESch2800,TM2_spw0BMAJ,TM2_spw0BMIN,TM2_spw0BPA,TM2_spw1PEAK,TM2_spw1AGMADRESch0200,TM2_spw1AGSTDRESch0200,TM2_spw1AGMADRESch1000,TM2_spw1AGSTDRESch1000,TM2_spw1AGMADRESch2000,TM2_spw1AGSTDRESch2000,TM2_spw1AGMADRESch2800,TM2_spw1AGSTDRESch2800,TM2_spw1BMAJ,TM2_spw1BMIN,TM2_spw1BPA,TM2_spw2PEAK,TM2_spw2AGMADRESch0200,TM2_spw2AGSTDRESch0200,TM2_spw2AGMADRESch1000,TM2_spw2AGSTDRESch1000,TM2_spw2AGMADRESch2000,TM2_spw2AGSTDRESch2000,TM2_spw2AGMADRESch2800,TM2_spw2AGSTDRESch2800,TM2_spw2BMAJ,TM2_spw2BMIN,TM2_spw2BPA,TM2_spw3PEAK,TM2_spw3AGMADRESch0200,TM2_spw3AGSTDRESch0200,TM2_spw3AGMADRESch1000,TM2_spw3AGSTDRESch1000,TM2_spw3AGMADRESch2000,TM2_spw3AGSTDRESch2000,TM2_spw3AGMADRESch2800,TM2_spw3AGSTDRESch2800,TM2_spw3BMAJ,TM2_spw3BMIN,TM2_spw3BPA
0,543150,112.50125,-18.52005555556,291.0,0.129999999999996,0.00057279563,8.670606621308e-05,0.0001188890673802,8.539509144612e-05,0.0001173834025394,9.30195019464e-05,0.0001374576386297,0.7211478352546801,0.63784885406508,-75.18483734131,0.04617874,0.004722246,0.0069231996,0.0046790587,0.006868067,0.004697213,0.00692838,0.004424259,0.0064051724,0.7927763462067601,0.6947123408316,-81.40968322754,0.3256481,0.0055877585,0.008149562,0.004360202,0.006457452,0.0042055757,0.006020336,0.0043472922,0.0064841085,0.78915905952444,0.6933852434159999,-83.91304016113,0.0881437,0.00920833,0.013770338,0.009262537,0.013639876,0.009007157,0.013528275,0.009603116,0.014171702,0.78860622644424,0.6933344006538,-81.89028167725,0.52589905,0.011004056,0.016158484,0.010478072,0.015474506,0.009780822,0.014437347,0.009366505,0.013744052,0.7812474370001999,0.6851831674575599,-82.54319000244
1,543161,112.51975,-18.51440833333,291.0,0.129999999999996,0.00066478376,7.361538882833e-05,9.878545824904e-05,7.093930616975e-05,9.628435509512e-05,8.514520595782e-05,0.0001263078011107,0.71976101398452,0.6329779028892,-76.30192565918,0.05477973,0.004441912,0.006599245,0.0047363117,0.007031189,0.0047874837,0.0071349023,0.0045816684,0.0067964583,0.79192757606508,0.6966469287871201,-83.79207611084,0.22411576,0.005409614,0.008045911,0.00453094,0.006669019,0.004198324,0.006282341,0.0044177435,0.006491846,0.7893773317335601,0.6881890892983199,-83.16568756104,0.107093416,0.009809183,0.01440975,0.009211818,0.013659526,0.009444962,0.013905588,0.0097517595,0.014434518,0.79509270191184,0.6904382109642,-83.12236785889,0.441706,0.011035381,0.016362526,0.010412986,0.0154946055,0.009960913,0.01464147,0.009586291,0.0141568305,0.78127127885808,0.68053287267684,-83.40832519531
2,543232,112.5552083333,-18.535425,291.0,0.129999999999996,0.00059822353,8.293315477204e-05,0.0001141152752098,8.153697126545e-05,0.0001124248592532,8.910323231248e-05,0.0001319413568126,0.7272748351098001,0.6360059976577199,-77.11289978027,0.037718896,0.004555184,0.006780732,0.0046691024,0.006894059,0.00466762,0.006788223,0.004672173,0.0069169845,0.7987830638886,0.6943170428276401,-81.9712600708,0.31070393,0.0055057555,0.008075606,0.004861686,0.0071934205,0.0043785702,0.006390564,0.004038259,0.005930099,0.79412293434132,0.6864934563637201,-82.58788299561,0.08992624,0.009043304,0.013500151,0.009389355,0.014054255,0.008734146,0.012650347,0.009497168,0.014165079,0.7948114275931201,0.69487899541848,-80.79322052002,0.42415005,0.011195907,0.016357912,0.010574234,0.015723264,0.009519611,0.013753302,0.009616846,0.014140639,0.7832137942314,0.6828783154488,-82.57549285889
3,545262,112.953125,-19.30349166667,291.0,0.129999999999996,0.00085797894,6.814947118983e-05,9.210732969223e-05,6.610236596316e-05,9.002724982565e-05,7.652316708118e-05,0.0001146130744019,0.7241228222846401,0.6367645263672,-76.93536376953,0.039798334,0.004375464,0.0065214336,0.0046091876,0.0069254297,0.00474035,0.007028671,0.004485981,0.0066845953,0.7961872220038799,0.69448733329788,-82.77584838867,0.062064216,0.0052178456,0.007811013,0.0045348285,0.0067429426,0.004410313,0.0065311864,0.0042202454,0.0060736276,0.7947581410407599,0.6858525872232,-81.62606048584,0.08021445,0.00939898,0.0140113905,0.009098284,0.01345664,0.009179016,0.013631177,0.009758336,0.014355212,0.79603493213664,0.69359654188152,-82.03913116455,0.13772051,0.01108846,0.016591039,0.010651317,0.015933169,0.010013547,0.014831239,0.009313938,0.013989188,0.78370428085344,0.67971754074096,-83.48156738281
4,545392,112.9787083333,-19.33843611111,291.0,0.129999999999996,0.000691937,7.996826752787e-05,0.0001105669362005,7.911740976851e-05,0.0001093998580473,8.563371375203e-05,0.000127484483528,0.72676503658296,0.63831764459592,-77.13521575928,0.040040758,0.004340119,0.0065207505,0.0046577333,0.006930872,0.00463033,0.006858355,0.0047841775,0.0071150963,0.79818665981292,0.69707685709008,-82.57437896729,0.15638644,0.0055310214,0.008161035,0.0044521987,0.0066181454,0.0041751144,0.006149467,0.0041767913,0.006089511,0.79226982593532,0.6882961988448,-83.06894683838,0.081372604,0.009357849,0.013886023,0.009330504,0.013803285,0.009441871,0.014126375,0.009374705,0.013865258,0.7945705056189599,0.69630795717228,-83.03851318359,0.26376203,0.010685093,0.015782287,0.01048916,0.0157967,0.009896432,0.014631644,0.0089618135,0.013281581,0.77966129779812,0.6821443438531201,-81.46295928955
5,G231.7986-01.9682,109.8997083334,-17.655,291.0,0.129999999999996,0.035192546,8.993259689305e-05,0.0001229820481967,8.795616304269e-05,0.0001209512993228,9.712744213175e-05,0.0001434403675376,0.72799623012528,0.63410931825624,-72.58367919922,0.08262554,0.0045530125,0.0067260824,0.004801385,0.007097934,0.0046795825,0.006960698,0.004523699,0.0067605977,0.8072813153268,0.6950715780258,-80.96556091309,0.3549876,0.0054620374,0.008139964,0.0047578844,0.0070505906,0.0044205603,0.006566253,0.0041711885,0.0061035194,0.80196315050124,0.6857632994652,-78.86071777344,0.10993162,0.009517568,0.01428183,0.009454377,0.014003953,0.009579423,0.014040564,0.009666294,0.01447569,0.80663412809376,0.6992769241332,-80.94825744629,0.43064824,0.011032686,0.016446179,0.010041974,0.015066052,0.00990171,0.014579128,0.009363285,0.014066262,0.79414445161836,0.6809589266778,-78.7629699707
6,G232.0766-02.2767,109.749625,-18.04488888889,291.0,0.129999999999996,0.025271794,9.842646250036e-05,0.0001330404484179,9.559455793351e-05,0.0001298880088143,0.0001080897054635,0.0001565069833305,0.7788932919504,0.6344057917594801,-68.79388427734,0.33062175,0.004462092,0.006464174,0.00492658,0.0073027676,0.0049564675,0.0073731686,0.0048518856,0.007185457,0.88689774274812,0.71049821376816,-75.09677124023,0.6527873,0.0053931596,0.008056103,0.004667219,0.006864912,0.0043853372,0.0063435407,0.0045895576,0.00678572,0.85930877923956,0.69529783725756,-76.8267288208,0.35994548,0.009731476,0.014531822,0.009899171,0.014694516,0.009306887,0.013787976,0.009935815,0.014717005,0.86187833547588,0.70804923772824,-76.04242706299,0.86004275,0.011450057,0.016948614,0.01079687,0.015905418,0.010473948,0.015408419,0.0099989865,0.014736422,0.86232286691676,0.69117420911796,-76.30335235596
7,G233.8306-00.1803,112.5696666667,-18.59697222222,291.0,0.129999999999996,0.034587402,9.604628576199e-05,0.0001318884460488,9.232559386874e-05,0.0001276130060432,0.0001068684869097,0.0001554714690428,0.7161710262300001,0.63354188203812,-75.19727325439,0.1298788,0.0044584954,0.0064254235,0.0044331714,0.006428629,0.004601198,0.006841894,0.004758222,0.0069378735,0.7982372045516399,0.6999814510344,-83.26106262207,0.63458186,0.0056184335,0.008382297,0.0046881884,0.0069895876,0.0043726396,0.006511402,0.004565843,0.006888667,0.79191207885744,0.6888939738274801,-81.87409973145,0.19053099,0.009107993,0.013638306,0.008638773,0.012560647,0.00895477,0.013034302,0.009529686,0.014236182,0.79881662130372,0.7030523419379999,-83.54377746582,0.7584455,0.010822712,0.016194519,0.010890517,0.015900984,0.01044452,0.015474917,0.009659598,0.014558779,0.77899581193932,0.68299913406384,-79.12077331543
8,520412,104.937125,-4.814794444445,271.0,0.140000000000004,0.0015094021,7.145454583224e-05,9.79020842351e-05,7.067044498399e-05,9.698318899609e-05,7.732125231996e-05,0.0001145226269728,0.72693020105352,0.65568304061892,-59.06600952148,0.040981013,0.004788187,0.007122458,0.004610475,0.006623723,0.0049336716,0.007304615,0.004991633,0.007316417,0.80539113283164,0.7298330068587601,-62.56561279297,0.10673848,0.005447374,0.007966889,0.004672804,0.006927505,0.0043240157,0.006495021,0.0043632174,0.006388712,0.80095827579516,0.7241137623788401,-72.79885864258,0.08231959,0.00949808,0.014224053,0.009686751,0.01418548,0.009894955,0.0147055425,0.009660654,0.014281429,0.80740427970888,0.72845584154136,-69.4758605957,0.16660431,0.0105605405,0.0157665,0.010184846,0.014963975,0.009832575,0.014368362,0.009266293,0.013765797,0.8015132546424,0.7174919843672399,-71.39358520508
9,G221.9605-01.9926,105.21225,-8.941694444445,291.0,0.129999999999996,0.001064746,7.891208224464e-05,0.0001061166767613,7.643070421182e-05,0.0001037423498929,8.735233132029e-05,0.0001311781088589,0.72548246383668,0.6487758159638399,-65.37240600586,0.07365372,0.004751325,0.0069902325,0.0050897505,0.0074951197,0.005031185,0.007375057,0.0049624895,0.007344201,0.79522663354884,0.71893769502636,-74.55696868896,0.55523336,0.004960644,0.007106258,0.004454173,0.0067161648,0.004065892,0.0059050145,0.0043947077,0.0064875083,0.7926171422003999,0.70725494623176,-80.65447998047,0.13585389,0.008918783,0.012964965,0.009610036,0.014177085,0.009787092,0.014419305,0.009431123,0.013721323,0.7962235808371201,0.72006207704532,-78.7915802002,0.68123627,0.010984344,0.01641399,0.010369787,0.015195465,0.009832879,0.014496595,0.0094637005,0.014018046,0.78947448730452,0.7038708925248,-78.19029998779
